e_id;geo_name;loc;geonamesid;time;time_norm;actor
1988;Westerwald;[u'50.6667 7.83333'];2810172;879;0879-01-01;Gebhard, Count of the Lahngau
1989;Aar (Lahn);[u'50.368611 8.005556'];2959917;879;0879-01-01;Gebhard, Count of the Lahngau
1990;Lahn;[u'50.30916667 7.59472222'];2881909;879;0879-01-01;Gebhard, Count of the Lahngau
1991;United States of America;[u'40 -100'];6252001;March 10, 1990;1990-03-10;Lucas Souza
1992;Beijing;[u'39.905 116.39138888889'];1816670;March 10, 1990;1990-03-10;Lucas Souza
1993;Guadalajara;[u'20.666111111111 -103.35194444444'];4005539;March 10, 1990;1990-03-10;Lucas Souza
1994;International Sailing Federation;[u'50.8955 -1.40506'];;March 10, 1990;1990-03-10;Lucas Souza
1995;Legislative Council;[u'22.281087 114.166127'];;1957;1957-01-01;Andrew Liao
1996;National People's Congress;[u'39.9033 116.387'];;1957;1957-01-01;Andrew Liao
1997;Rheingau-Taunus-Kreis;[u'50.148402777778 8.0732638888889'];3220989;1160;1160-01-01;Frederick, Archbishop of Mainz
1998;Darmstadt Government Region;[u'50.08 8.75'];2938912;1160;1160-01-01;Frederick, Archbishop of Mainz
1999;Eltville;[u'50.025 8.1200694444444'];2930646;1160;1160-01-01;Frederick, Archbishop of Mainz
2000;Schlangenbad;[u'50.092916666667 8.1019444444444'];2838918;1160;1160-01-01;Frederick, Archbishop of Mainz
2001;Academy of Fine Arts, Florence;[u'43.776907 11.258475'];7302749;May 27, 1830;1830-05-27;Giovanni Fattori
2002;Academy of Fine Arts, Florence;[u'43.776907 11.258475'];7302749;May 27, 1830;1830-05-27;Giovanni Bartolena
2003;Academy of Fine Arts, Florence;[u'43.776907 11.258475'];7302749;May 27, 1830;1830-05-27;Enrico Pollastrini
2004;Caffè Michelangiolo;[u'43.77527778 11.25638889'];;May 27, 1830;1830-05-27;Giovanni Fattori
2005;Livorno;[u'43.55 10.316666666667'];3174659;May 27, 1830;1830-05-27;Giovanni Fattori
2006;Blackness, Falkirk;[u'56.003652777778 -3.5220111111111'];;1453;1453-01-01;James Hamilton
2007;Blackness, Falkirk;[u'56.003652777778 -3.5220111111111'];;1453;1453-01-01;David Beaton
2008;Blackness, Falkirk;[u'56.003652777778 -3.5220111111111'];;1453;1453-01-01;Oliver Cromwell
